"country","year","month","launched","foiled","all"
116,2009,"9",0,0,0
116,2010,"1",0,0,0
116,2010,"10",0,0,0
116,2010,"11",0,0,0
116,2010,"12",0,0,0
116,2010,"2",0,0,0
116,2010,"3",0,0,0
116,2010,"4",0,0,0
116,2010,"5",0,0,0
116,2010,"6",0,0,0
116,2010,"7",0,0,0
116,2010,"8",0,0,0
116,2010,"9",0,0,0
116,2011,"1",0,0,0
116,2011,"10",0,0,0
116,2011,"11",0,0,0
116,2011,"12",0,0,0
116,2011,"2",0,0,0
116,2011,"3",0,0,0
116,2011,"4",0,0,0
116,2011,"5",0,0,0
116,2011,"6",0,0,0
116,2011,"7",0,0,0
116,2011,"8",0,0,0
