"iso2c","year","launched","foiled","all","population","all_poisson","launched_poisson","all_nb","launched_nb"
"ES",1998,0,0,0,40223509,0,0,0,0
"ES",1999,0,0,0,40386875,0,0,0,0
"ES",2000,0,0,0,40567864,0,0,0,0
"ES",2001,0,0,0,40850412,0,0,0,0
"ES",2002,0,0,0,41431558,0,0,0,0
"ES",2003,0,1,1,42187645,0,0,0,0
"ES",2004,0,0,0,42921895,0,0,0,0
"ES",2005,1,0,1,43653155,0,0,0,0
"ES",2006,0,0,0,44397319,0,0,0,0
"ES",2007,0,0,0,45226803,0,0,0,0
"ES",2008,0,0,0,45954106,0,0,0,1
"ES",2009,0,0,0,46362946,0,0,0,0
"ES",2010,0,0,0,46576897,0,0,0,0
"ES",2011,0,2,2,46742697,0,0,0,0
"ES",2012,0,0,0,46773055,0,0,0,0
"ES",2013,0,0,0,46620045,0,0,0,0
"ES",2014,0,0,0,46480882,0,0,0,0
"ES",2015,0,0,0,46444832,0,0,0,0
"ES",2016,0,0,0,46484062,0,0,0,0
"LK",1990,2,0,2,17325773,1,0,0,0
"LK",1991,0,0,0,17535729,1,0,0,0
"LK",1992,1,0,1,17736821,0,0,0,0
"LK",1993,1,0,1,17924823,0,0,0,0
"LK",1994,0,0,0,18094477,0,0,0,0
"LK",1995,2,1,3,18242912,0,0,0,0
"LK",1996,1,0,1,18367288,0,0,0,0
"LK",1997,0,0,0,18470900,0,0,0,0
"LK",1998,0,0,0,18564599,0,0,0,0
"LK",1999,0,0,0,18663284,0,0,0,0
"LK",2000,0,0,0,18777601,0,0,0,0
"LK",2001,0,0,0,18911730,0,1,0,0
"LK",2002,0,0,0,19062482,0,0,0,0
"LK",2003,0,0,0,19224037,0,0,0,0
"LK",2004,0,0,0,19387153,0,0,0,0
"LK",2005,0,0,0,19544988,1,0,0,0
"LK",2006,0,0,0,19695972,0,0,0,0
"LK",2007,0,0,0,19842044,0,0,0,0
"LK",2008,2,0,2,19983984,0,0,0,0
"LK",2009,1,0,1,20123508,0,0,0,0
"LK",2010,0,0,0,20261737,0,0,0,0
"LK",2011,0,0,0,20398670,0,0,0,0
"LK",2012,0,0,0,20425000,0,0,0,0
"LK",2013,0,0,0,20585000,0,0,0,0
"LK",2014,0,0,0,20778000,0,0,0,0
"LK",2015,0,0,0,20970000,0,0,0,0
"LK",2016,0,0,0,21203000,0,0,0,0
"KN",1990,0,0,0,40259,0,0,0,2
"KN",1991,0,0,0,40379,0,0,0,0
"KN",1992,0,0,0,40697,0,0,0,0
"KN",1993,0,0,0,41135,0,0,0,0
"KN",1994,0,0,0,41617,0,0,0,0
"KN",1995,0,0,0,42074,0,0,0,0
"KN",1996,0,0,0,42475,0,0,0,0
"KN",1997,0,0,0,42854,0,0,0,0
"KN",1998,0,0,0,43221,0,0,0,0
"KN",1999,0,0,0,43614,0,0,0,0
"KN",2000,0,0,0,44074,0,0,0,0
"KN",2001,0,0,0,44599,1,0,0,0
"KN",2002,0,0,0,45165,0,0,0,0
"KN",2003,0,0,0,45746,0,0,0,0
"KN",2004,0,0,0,46324,0,0,0,0
"KN",2005,0,0,0,46857,0,0,0,0
"KN",2006,0,0,0,47339,0,0,0,0
"KN",2007,0,0,0,47778,0,0,0,0
"KN",2008,0,0,0,48185,0,0,0,0
"KN",2009,0,0,0,48599,0,0,0,0
"KN",2010,0,0,0,49016,0,0,0,0
"KN",2011,0,0,0,49447,0,0,0,0
"KN",2012,0,0,0,49887,0,0,0,0
"KN",2013,0,0,0,50331,1,0,0,0
"KN",2014,0,0,0,50774,0,0,0,0
"KN",2015,0,0,0,51203,0,0,0,0
"KN",2016,0,0,0,51625,1,0,0,0
"LC",1990,0,0,0,138020,0,0,0,0
"LC",1991,0,0,0,139995,0,0,0,0
"LC",1992,0,0,0,141760,0,0,0,0
"LC",1993,0,0,0,143409,0,0,0,0
"LC",1994,0,0,0,145083,0,0,0,0
"LC",1995,0,0,0,146870,0,0,0,0
"LC",1996,0,0,0,148834,1,0,0,1
"LC",1997,0,0,0,150913,0,0,0,0
"LC",1998,0,0,0,153021,0,0,0,0
"LC",1999,0,0,0,154995,1,0,0,0
"LC",2000,0,0,0,156729,0,0,0,0
"LC",2001,0,0,0,158179,0,0,1,0
"LC",2002,0,0,0,159392,0,0,0,0
"LC",2003,0,0,0,160530,0,0,0,0
"LC",2004,0,0,0,161816,0,0,0,0
"LC",2005,0,0,0,163417,0,0,0,0
"LC",2006,0,0,0,165381,1,0,0,0
"LC",2007,0,0,0,167639,0,0,0,0
"LC",2008,0,0,0,170011,0,0,0,0
"LC",2009,0,0,0,172221,0,0,0,0
"LC",2010,0,0,0,174085,0,0,0,0
"LC",2011,0,0,0,175544,0,0,0,0
"LC",2012,0,0,0,176646,0,0,0,0
"LC",2013,0,0,0,177513,0,0,0,0
"LC",2014,0,0,0,178296,0,0,0,0
"LC",2015,0,0,0,179126,1,0,0,0
"LC",2016,0,0,0,180024,0,0,0,1
"MF",1990,0,0,0,31520,0,0,0,0
"MF",1991,0,0,0,32449,0,0,0,0
"MF",1992,0,0,0,31811,0,0,0,0
"MF",1993,0,0,0,30200,0,0,0,0
"MF",1994,0,0,0,28484,0,1,0,0
"MF",1995,0,0,0,27321,0,0,0,0
"MF",1996,0,0,0,26849,0,0,0,0
"MF",1997,0,0,0,26909,0,0,1,0
"MF",1998,0,0,0,27392,0,0,0,0
"MF",1999,0,0,0,28116,0,0,0,0
"MF",2000,0,0,0,28935,0,0,0,0
"MF",2001,0,0,0,29853,0,0,0,0
"MF",2002,0,0,0,30910,0,0,0,0
"MF",2003,0,0,0,32053,0,0,0,0
"MF",2004,0,0,0,33186,0,0,0,0
"MF",2005,0,0,0,34248,0,0,0,0
"MF",2006,0,0,0,35237,0,0,0,0
"MF",2007,0,0,0,36137,0,0,0,0
"MF",2008,0,0,0,36885,0,0,0,0
"MF",2009,0,0,0,37377,0,0,0,0
"MF",2010,0,0,0,37582,1,0,0,0
"MF",2011,0,0,0,37446,0,0,0,0
"MF",2012,0,0,0,37009,0,0,0,0
"MF",2013,0,0,0,36453,0,0,0,0
"MF",2014,0,0,0,36015,0,0,0,0
"MF",2015,0,0,0,35858,0,0,0,0
"MF",2016,0,0,0,36065,0,0,0,0
"VC",1990,0,0,0,107484,0,0,0,0
"VC",1991,0,0,0,107776,0,0,0,0
"VC",1992,0,0,0,107950,0,0,0,0
"VC",1993,0,0,0,108033,0,0,0,3
"VC",1994,0,0,0,108053,0,0,0,0
"VC",1995,0,0,0,108035,0,0,0,0
"VC",1996,0,0,0,107976,0,0,0,0
"VC",1997,0,0,0,107895,0,0,0,0
"VC",1998,0,0,0,107801,0,0,0,0
"VC",1999,0,0,0,107758,0,0,0,0
"VC",2000,0,0,0,107784,0,0,0,0
"VC",2001,0,0,0,107896,0,1,0,0
"VC",2002,0,0,0,108097,0,0,0,0
"VC",2003,0,0,0,108326,0,0,0,0
"VC",2004,0,0,0,108512,0,0,0,0
"VC",2005,0,0,0,108614,0,0,0,0
"VC",2006,0,0,0,108603,0,0,0,0
"VC",2007,0,0,0,108518,0,0,0,0
"VC",2008,0,0,0,108393,1,0,0,0
"VC",2009,0,0,0,108287,0,0,0,0
"VC",2010,0,0,0,108255,0,0,0,0
"VC",2011,0,0,0,108316,0,0,0,0
"VC",2012,0,0,0,108435,0,0,0,0
"VC",2013,0,0,0,108622,0,0,0,0
"VC",2014,0,0,0,108861,0,1,0,0
"VC",2015,0,0,0,109148,0,0,0,0
"VC",2016,0,0,0,109459,0,0,0,0
"SD",1990,0,0,0,20147590,0,0,0,0
"SD",1991,0,0,0,20891441,0,0,0,0
"SD",1992,0,0,0,21696244,0,0,0,0
"SD",1993,0,0,0,22527834,0,0,0,0
"SD",1994,0,0,0,23338464,0,0,0,0
"SD",1995,0,0,0,24094747,0,0,0,0
"SD",1996,0,0,0,24782383,0,0,0,0
"SD",1997,0,1,1,25413917,0,0,0,0
"SD",1998,0,0,0,26015521,0,0,0,0
"SD",1999,0,0,0,26626520,0,0,0,0
"SD",2000,0,0,0,27275015,0,0,0,0
"SD",2001,0,0,0,27971082,0,0,0,0
"SD",2002,0,0,0,28704778,0,0,0,0
"SD",2003,0,0,0,29460519,0,0,0,0
"SD",2004,0,0,0,30214193,0,0,0,0
